complaint_id,complainant_ethnicity,complainant_gender,complainant_age_incident,fado_type,allegation,precinct,board_disposition
38107,Black,Male,37.0,Abuse of Authority,Vehicle search,79.0,Unsubstantiated
38107,Black,Male,37.0,Abuse of Authority,Frisk,79.0,Unsubstantiated
38107,Black,Male,37.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Substantiated (Command Lvl Instructions)
38584,Black,Male,49.0,Abuse of Authority,Vehicle stop,79.0,Exonerated
38584,Black,Male,49.0,Abuse of Authority,Search (of person),79.0,Unsubstantiated
38584,Black,Male,49.0,Abuse of Authority,Vehicle search,79.0,Substantiated (Command Discipline B)
38584,Black,Male,49.0,Abuse of Authority,Frisk,79.0,Substantiated (Command Discipline B)
41834,Hispanic,Male,36.0,Abuse of Authority,Stop,90.0,Unsubstantiated
41834,Hispanic,Male,36.0,Discourtesy,Word,90.0,Unsubstantiated
42049,Black,Male,34.0,Abuse of Authority,Question,79.0,Unsubstantiated
42049,Black,Male,34.0,Abuse of Authority,Frisk,79.0,Unsubstantiated
42049,Black,Male,34.0,Abuse of Authority,Failure to provide RTKA card,79.0,Substantiated (Command Lvl Instructions)
42049,Black,Male,34.0,Abuse of Authority,Vehicle search,79.0,Unsubstantiated
42908,Black,Male,47.0,Abuse of Authority,Frisk,79.0,Unsubstantiated
42908,Black,Male,42.0,Abuse of Authority,Vehicle search,79.0,Unsubstantiated
42908,Black,Male,47.0,Abuse of Authority,Vehicle search,79.0,Unsubstantiated
16904,Other Race,Female,67.0,Abuse of Authority,Question,46.0,Substantiated (Charges)
29871,Hispanic,Male,27.0,Discourtesy,Word,9.0,Unsubstantiated
16904,Other Race,Female,67.0,Abuse of Authority,Seizure of property,46.0,Substantiated (Charges)
29814,Hispanic,Male,33.0,Abuse of Authority,Refusal to provide name/shield number,9.0,Unsubstantiated
33557,Black,Female,25.0,Force,Chokehold,79.0,Unsubstantiated
33557,Black,Female,25.0,Offensive Language,Gender,79.0,Unsubstantiated
33557,Black,Female,25.0,Offensive Language,Sexual orientation,79.0,Unsubstantiated
33557,Black,Female,25.0,Force,Physical force,79.0,Unsubstantiated
33557,Black,Female,25.0,Force,Other,79.0,Unsubstantiated
33557,Black,Female,25.0,Offensive Language,Race,79.0,Unsubstantiated
39875,Black,Male,53.0,Discourtesy,Word,79.0,Unsubstantiated
39946,Black,Male,28.0,Force,Nightstick as club (incl asp & baton),79.0,Exonerated
39946,Black,Male,28.0,Abuse of Authority,Refusal to obtain medical treatment,79.0,Substantiated (Command Discipline B)
39946,Black,Male,28.0,Abuse of Authority,Refusal to obtain medical treatment,79.0,Substantiated (Command Discipline B)
41144,Black,Male,50.0,Abuse of Authority,Stop,79.0,Exonerated
41144,Black,Male,50.0,Abuse of Authority,Refusal to provide name,79.0,Unsubstantiated
41144,Black,Male,50.0,Abuse of Authority,Failure to provide RTKA card,79.0,Substantiated (Command Lvl Instructions)
17338,Black,Male,49.0,Abuse of Authority,Retaliatory arrest,28.0,Substantiated (Charges)
36797,Black,Transman (FTM),44.0,Discourtesy,Word,28.0,Unsubstantiated
36797,Black,Transman (FTM),44.0,Force,Handcuffs too tight,28.0,Unsubstantiated
5938,Other Race,Female,58.0,Abuse of Authority,Threat of arrest,79.0,Unsubstantiated
7409,Hispanic,Male,30.0,Abuse of Authority,Threat of arrest,79.0,Unsubstantiated
7409,Hispanic,Male,30.0,Abuse of Authority,Seizure of property,79.0,Exonerated
7409,Hispanic,Male,30.0,Discourtesy,Word,79.0,Unsubstantiated
7409,Hispanic,Male,30.0,Force,Gun Pointed,79.0,Unsubstantiated
8481,Black,Female,29.0,Abuse of Authority,Vehicle stop,79.0,Exonerated
9624,Black,Male,26.0,Force,Gun Pointed,79.0,Exonerated
9624,Black,Male,26.0,Abuse of Authority,Vehicle stop,79.0,Exonerated
9624,Black,Male,26.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Unsubstantiated
9624,Black,Male,26.0,Abuse of Authority,Retaliatory arrest,79.0,Substantiated (Command Discipline)
23263,Black,Female,20.0,Force,Physical force,79.0,Exonerated
23263,Black,Female,20.0,Offensive Language,Race,79.0,Unsubstantiated
23263,Black,Female,20.0,Discourtesy,Word,79.0,Substantiated (Command Discipline)
31665,Black,Female,36.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Substantiated (Command Discipline A)
33338,Hispanic,Male,,Discourtesy,Word,79.0,Substantiated (Formalized Training)
33338,White,Male,24.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Substantiated (Command Discipline A)
38384,Black,Male,55.0,Abuse of Authority,Other,79.0,Exonerated
38384,Black,Male,55.0,Discourtesy,Word,79.0,Unsubstantiated
38384,Black,Male,55.0,Abuse of Authority,Threat of arrest,79.0,Exonerated
11723,Black,Male,18.0,Force,Physical force,120.0,Exonerated
11723,Black,Male,16.0,Abuse of Authority,Question and/or stop,120.0,Exonerated
11723,Black,Male,18.0,Abuse of Authority,Search (of person),120.0,Exonerated
33134,Black,Male,21.0,Force,Other blunt instrument as a club,79.0,Substantiated (Charges)
33134,Black,Male,21.0,Abuse of Authority,Stop,79.0,Exonerated
33134,Black,Male,21.0,Abuse of Authority,Threat of force (verbal or physical),79.0,Substantiated (Charges)
33134,Black,Male,21.0,Force,Physical force,79.0,Substantiated (Charges)
33134,Black,Male,21.0,Force,Chokehold,79.0,Substantiated (Charges)
33134,Black,Male,21.0,Force,Physical force,79.0,Substantiated (Charges)
33134,Black,Male,21.0,Discourtesy,Word,79.0,Unsubstantiated
33134,Black,Male,21.0,Abuse of Authority,Refusal to obtain medical treatment,79.0,Unsubstantiated
33134,Black,Male,21.0,Offensive Language,Gender,79.0,Unsubstantiated
33134,Black,Male,21.0,Force,Other,79.0,Substantiated (Charges)
33608,Black,Male,35.0,Abuse of Authority,Question,79.0,Substantiated (Formalized Training)
33608,Black,Male,35.0,Abuse of Authority,Vehicle stop,79.0,Unsubstantiated
39655,Black,Male,21.0,Abuse of Authority,Search (of person),79.0,Exonerated
39655,Hispanic,Male,21.0,Abuse of Authority,Vehicle search,79.0,Exonerated
39655,Hispanic,Male,21.0,Abuse of Authority,Search (of person),79.0,Exonerated
39655,Hispanic,Male,26.0,Abuse of Authority,Search (of person),79.0,Exonerated
39655,Hispanic,Male,21.0,Abuse of Authority,Vehicle stop,79.0,Exonerated
39655,Black,Male,,Abuse of Authority,Search (of person),79.0,Exonerated
40762,Black,Female,47.0,Abuse of Authority,Vehicle search,79.0,Unsubstantiated
6610,Black,Female,38.0,Abuse of Authority,Other,79.0,Substantiated (Charges)
16050,Black,Male,41.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Unsubstantiated
16050,Black,Male,41.0,Abuse of Authority,Threat of arrest,79.0,Exonerated
18801,Hispanic,Male,44.0,Force,Physical force,79.0,Exonerated
27608,Hispanic,Male,53.0,Force,Other,79.0,Exonerated
24367,Hispanic,Male,32.0,Force,Physical force,1.0,Unsubstantiated
24367,Hispanic,Male,32.0,Force,Pepper spray,1.0,Exonerated
26826,Black,Male,52.0,Offensive Language,Race,1.0,Unsubstantiated
26826,Black,Male,52.0,Discourtesy,Word,1.0,Unsubstantiated
32585,Black,Male,44.0,Force,Physical force,1.0,Substantiated (Charges)
21402,Hispanic,Male,21.0,Abuse of Authority,Stop,68.0,Unsubstantiated
21402,Hispanic,Male,21.0,Discourtesy,Word,68.0,Unsubstantiated
12732,Hispanic,Male,24.0,Force,Pepper spray,70.0,Exonerated
21402,Hispanic,Male,21.0,Abuse of Authority,Threat of force (verbal or physical),68.0,Unsubstantiated
21402,Hispanic,Male,21.0,Abuse of Authority,Strip-searched,68.0,Unsubstantiated
21402,Hispanic,Male,21.0,Abuse of Authority,Search (of person),68.0,Unsubstantiated
25199,Hispanic,Male,22.0,Abuse of Authority,Stop,72.0,Substantiated (Charges)
31005,Asian,Male,41.0,Discourtesy,Word,122.0,Unsubstantiated
31729,White,Male,49.0,Abuse of Authority,Vehicle search,122.0,Unsubstantiated
33951,Hispanic,Male,35.0,Force,Physical force,120.0,Unsubstantiated
33951,Hispanic,Male,35.0,Discourtesy,Word,120.0,Unsubstantiated
31407,Black,Male,23.0,Force,Physical force,113.0,Unsubstantiated
36453,Black,Female,51.0,Abuse of Authority,Vehicle stop,101.0,Unsubstantiated
36453,Black,Female,51.0,Abuse of Authority,Threat of arrest,101.0,Unsubstantiated
36453,Black,Female,51.0,Abuse of Authority,Question,101.0,Substantiated (Formalized Training)
37113,Hispanic,Male,16.0,Force,Physical force,101.0,Exonerated
42769,Black,Male,30.0,Abuse of Authority,Threat of arrest,79.0,Unsubstantiated
42769,Black,Male,30.0,Abuse of Authority,Seizure of property,79.0,Substantiated (Formalized Training)
36961,Black,Male,31.0,Abuse of Authority,Vehicle stop,79.0,Exonerated
38584,Black,Male,49.0,Abuse of Authority,Vehicle search,79.0,Substantiated (Command Discipline B)
34491,Black,Male,40.0,Abuse of Authority,Other,79.0,Exonerated
34491,Black,Male,40.0,Abuse of Authority,Threat of arrest,79.0,Exonerated
34491,Black,Male,40.0,Abuse of Authority,Search (of person),79.0,Exonerated
34491,Black,Male,40.0,Discourtesy,Word,79.0,Unsubstantiated
34491,Black,Male,40.0,Abuse of Authority,Threat of force (verbal or physical),79.0,Exonerated
34491,Black,Male,40.0,Abuse of Authority,Stop,79.0,Exonerated
37708,Black,Male,29.0,Abuse of Authority,Refusal to show search warrant,79.0,Unsubstantiated
39964,Black,Male,49.0,Abuse of Authority,Vehicle search,79.0,Substantiated (Command Discipline A)
39056,Black,Male,41.0,Abuse of Authority,Search (of person),79.0,Exonerated
39056,Black,Female,36.0,Abuse of Authority,Vehicle stop,79.0,Exonerated
39056,Black,Male,41.0,Abuse of Authority,Frisk,79.0,Exonerated
39056,Black,Female,36.0,Abuse of Authority,Vehicle search,79.0,Substantiated (Command Discipline B)
39056,Black,Female,36.0,Abuse of Authority,Threat to damage/seize property,79.0,Substantiated (Command Discipline B)
38499,Black,Male,29.0,Abuse of Authority,Stop,100.0,Exonerated
38499,Black,Male,29.0,Force,Other blunt instrument as a club,100.0,Unsubstantiated
41382,Black,Not described,30.0,Abuse of Authority,Failure to provide RTKA card,90.0,Substantiated (Formalized Training)
41382,Black,Male,29.0,Abuse of Authority,Vehicle stop,90.0,Exonerated
41382,Black,Male,29.0,Abuse of Authority,Failure to provide RTKA card,90.0,Substantiated (Formalized Training)
41382,Black,Male,29.0,Abuse of Authority,Question,90.0,Unsubstantiated
41660,Black,Male,31.0,Abuse of Authority,Vehicle stop,90.0,Exonerated
12220,Black,Male,28.0,Abuse of Authority,Strip-searched,7.0,Exonerated
12220,Black,Male,28.0,Force,Physical force,7.0,Exonerated
41423,Hispanic,Male,35.0,Discourtesy,Word,13.0,Unsubstantiated
41423,Hispanic,Male,35.0,Discourtesy,Gesture,13.0,Unsubstantiated
41423,Hispanic,Male,35.0,Offensive Language,Race,13.0,Unsubstantiated
41423,Hispanic,Male,35.0,Abuse of Authority,"Sex Miscon (Sexual Harassment, Verbal)",13.0,Unsubstantiated
12220,Black,Male,28.0,Abuse of Authority,Stop,7.0,Exonerated
41423,Hispanic,Male,35.0,Abuse of Authority,"Sex Miscon (Sexual Harassment, Gesture)",13.0,Unsubstantiated
35183,Black,Female,45.0,Abuse of Authority,Other,73.0,Substantiated (Command Lvl Instructions)
41320,Black,Male,42.0,Abuse of Authority,Threat of arrest,73.0,Unsubstantiated
41320,Black,Male,42.0,Abuse of Authority,Vehicle stop,73.0,Unsubstantiated
41320,Black,Male,42.0,Abuse of Authority,Vehicle search,73.0,Unsubstantiated
41320,Black,Male,42.0,Abuse of Authority,Forcible Removal to Hospital,73.0,Exonerated
40613,Black,Male,58.0,Discourtesy,Word,79.0,Substantiated (Command Lvl Instructions)
41144,Black,Male,50.0,Abuse of Authority,Stop,79.0,Exonerated
41144,Black,Male,50.0,Abuse of Authority,Failure to provide RTKA card,79.0,Unsubstantiated
41144,Black,Male,50.0,Abuse of Authority,Refusal to provide name,79.0,Unsubstantiated
41144,Black,Male,50.0,Abuse of Authority,Search (of person),79.0,Unsubstantiated
9624,Black,Male,26.0,Abuse of Authority,Vehicle search,79.0,Unsubstantiated
9624,Black,Male,26.0,Abuse of Authority,Vehicle stop,79.0,Exonerated
13525,Black,Male,34.0,Abuse of Authority,Strip-searched,79.0,Unsubstantiated
33338,White,Male,24.0,Abuse of Authority,Vehicle stop,79.0,Substantiated (Command Discipline A)
22345,Black,Male,32.0,Abuse of Authority,Strip-searched,73.0,Unsubstantiated
42564,Hispanic,Female,42.0,Abuse of Authority,Entry of Premises,79.0,Exonerated
42564,Hispanic,Female,42.0,Abuse of Authority,Forcible Removal to Hospital,79.0,Exonerated
17369,Black,Male,65.0,Abuse of Authority,Property damaged,81.0,Unsubstantiated
12323,Black,Male,43.0,Abuse of Authority,Question and/or stop,79.0,Exonerated
12323,Black,Male,43.0,Abuse of Authority,Search (of person),79.0,Substantiated (Charges)
17369,Black,Male,65.0,Abuse of Authority,Question,81.0,Exonerated
19529,Black,Male,23.0,Abuse of Authority,Strip-searched,75.0,Unsubstantiated
22923,Black,Male,28.0,Abuse of Authority,Frisk,75.0,Exonerated
22923,Black,Male,28.0,Abuse of Authority,Search (of person),75.0,Exonerated
23382,Black,Male,,Discourtesy,Word,73.0,Unsubstantiated
28024,Black,Male,40.0,Force,Nightstick as club (incl asp & baton),71.0,Unsubstantiated
28024,Black,Male,40.0,Force,Physical force,71.0,Exonerated
28674,Black,Male,39.0,Abuse of Authority,Question,71.0,Exonerated
28674,Black,Male,39.0,Abuse of Authority,Threat of arrest,71.0,Unsubstantiated
28674,Black,Male,39.0,Discourtesy,Word,71.0,Unsubstantiated
29790,Black,Male,24.0,Abuse of Authority,Strip-searched,71.0,Exonerated
30426,Black,Male,24.0,Force,Nightstick as club (incl asp & baton),71.0,Exonerated
32689,Black,Male,22.0,Force,Physical force,71.0,Exonerated
32689,Black,Male,22.0,Abuse of Authority,Vehicle search,71.0,Exonerated
33742,Black,Male,49.0,Offensive Language,Ethnicity,71.0,Unsubstantiated
33948,Black,Male,40.0,Abuse of Authority,Threat of summons,71.0,Unsubstantiated
33948,Black,Male,40.0,Discourtesy,Word,71.0,Unsubstantiated
37018,Black,Male,19.0,Discourtesy,Word,71.0,Unsubstantiated
37018,Black,Male,19.0,Abuse of Authority,Refusal to provide name/shield number,71.0,Unsubstantiated
39078,Black,Female,31.0,Force,Physical force,71.0,Unsubstantiated
41144,Black,Male,50.0,Offensive Language,Race,79.0,Unsubstantiated
41144,Black,Male,50.0,Abuse of Authority,Refusal to process civilian complaint,79.0,Unsubstantiated
41144,Black,Male,50.0,Abuse of Authority,Failure to provide RTKA card,79.0,Unsubstantiated
41144,Black,Male,50.0,Abuse of Authority,Refusal to provide name,79.0,Unsubstantiated
41144,Black,Male,50.0,Abuse of Authority,Failure to provide RTKA card,79.0,Substantiated (Command Lvl Instructions)
29326,Black,Male,57.0,Abuse of Authority,Stop,1.0,Exonerated
29326,Black,Male,57.0,Abuse of Authority,Search (of person),1.0,Unsubstantiated
29326,Black,Male,57.0,Abuse of Authority,Frisk,1.0,Substantiated (Charges)
29326,Black,Male,57.0,Discourtesy,Word,1.0,Substantiated (Charges)
34319,White,Male,30.0,Force,Hit against inanimate object,7.0,Unsubstantiated
29087,Hispanic,Female,43.0,Discourtesy,Word,79.0,Unsubstantiated
38487,Black,Female,26.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Substantiated (Command Lvl Instructions)
39880,Black,Male,53.0,Discourtesy,Word,79.0,Unsubstantiated
27316,Black,Male,17.0,Force,Physical force,79.0,Unsubstantiated
27316,Black,Male,17.0,Abuse of Authority,Stop,79.0,Substantiated (Instructions)
5607,Hispanic,Female,32.0,Discourtesy,Action,79.0,Unsubstantiated
5689,Black,Male,46.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Unsubstantiated
6468,Black,Male,48.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Unsubstantiated
6468,Black,Male,48.0,Discourtesy,Action,79.0,Unsubstantiated
13386,Black,Female,32.0,Abuse of Authority,Threat of arrest,79.0,Unsubstantiated
30883,Black,Male,24.0,Force,Physical force,79.0,Substantiated (Charges)
30883,Black,Male,24.0,Abuse of Authority,Vehicle stop,79.0,Substantiated (Charges)
30883,Black,Male,24.0,Abuse of Authority,Vehicle search,79.0,Substantiated (Charges)
31201,Hispanic,Male,31.0,Abuse of Authority,Threat of arrest,79.0,Exonerated
31201,Hispanic,Male,36.0,Abuse of Authority,Refusal to process civilian complaint,79.0,Substantiated (Command Discipline B)
35632,White,Male,15.0,Force,Physical force,79.0,Substantiated (Command Discipline A)
35632,White,Male,16.0,Abuse of Authority,Refusal to provide name/shield number,79.0,Substantiated (Command Discipline A)
18876,Black,Male,57.0,Abuse of Authority,Refusal to process civilian complaint,79.0,Substantiated (Command Discipline)
12039,Black,Male,32.0,Abuse of Authority,Question and/or stop,23.0,Substantiated (Command Discipline)
9966,Black,Female,22.0,Force,Physical force,110.0,Exonerated
40613,Black,Male,58.0,Abuse of Authority,Stop,79.0,Substantiated (Command Discipline B)
40788,Black,Female,,Abuse of Authority,Threat of arrest,79.0,Exonerated
35998,Black,Male,39.0,Force,Physical force,100.0,Exonerated
35998,Black,Male,39.0,Force,Gun Pointed,100.0,Exonerated
36546,Hispanic,Male,36.0,Abuse of Authority,Vehicle search,100.0,Substantiated (Command Discipline B)
36546,Hispanic,Female,13.0,Abuse of Authority,Interference with recording,100.0,Substantiated (Command Discipline B)
37390,Hispanic,Male,24.0,Abuse of Authority,Vehicle search,100.0,Unsubstantiated
18872,Black,Male,22.0,Abuse of Authority,Search (of person),79.0,Unsubstantiated
18872,Black,Male,22.0,Abuse of Authority,Frisk,79.0,Substantiated (Charges)
9220,Black,Male,44.0,Abuse of Authority,Question and/or stop,79.0,Substantiated (Charges)
